name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,outbreak,number_beds,CSDname,CSDuid,latitude,longitude
WELLINGTON TERRACE LONG-TERM CARE HOME,474 Wellington Road 18,Waterloo Wellington,Municipal,No,Yes,Yes,No,,Fergus, N1M0A1,2010-09-08,18,7,4,3,,,9,4,4,1,,,wellington terrace long-term care home,1,176,Centre Wellington,3523025,43.696534,-80.400755
WENTWORTH LODGE,41 South Street West,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Dundas, L9H4C4,2011-04-06,25,20,14,8,8,5,9,6,6,4,4,4,wentworth lodge,1,160,Hamilton,3525005,43.25983089,-79.94970123
WESBURN MANOR,400 The West Mall,Mississauga Halton,Municipal,Yes,Yes,Yes,Yes,,Etobicoke, M9C5S1,2011-05-13,66,24,10,46,14,5,10,6,4,13,3,1,wesburn manor,1,192,Toronto,3520005,43.64388927,-79.56745924
WEST LAKE TERRACE,"1673 County Road, 12 R. R. #1",South East,For-Profit,No,Yes,No,Yes,,Picton, K0K2T0,2010-08-16,26,13,6,7,3,2,9,5,4,7,1,,west lake terrace,0,47,Prince Edward County,3513020,43.92704133,-77.25758022
WEST OAK VILLAGE,2370 Third Line,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Oakville, L6M4E2,2010-10-07,34,16,12,14,7,6,10,4,4,5,2,1,west oak village,1,133,Oakville,3524001,43.44708343,-79.75633228
WEST PARK HEALTH CENTRE,103 Pelham Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,St Catharines, L2S1S9,2010-07-21,52,26,14,23,8,6,8,7,6,20,9,4,west park health centre,1,101,St. Catharines,3526053,43.140947,-79.2508643
WEST PARK LONG TERM CARE CENTRE,82 Buttonwood Avenue,Toronto Central,Non-Profit,Yes,Yes,Yes,Yes,,Toronto, M6M2J5,2010-10-13,63,30,13,40,17,6,13,7,5,13,6,4,west park long term care centre,1,200,Toronto,3520005,43.68933979,-79.50788773
WESTGATE LODGE NURSING HOME,37 Wilkie Street,South East,For-Profit,Yes,Yes,Yes,Yes,,Belleville, K8P4E4,2010-08-18,44,25,14,12,5,5,27,16,8,1,1,1,westgate lodge nursing home,0,88,Belleville,3512005,44.14702066,-77.40620279
WESTMOUNT GARDENS LONG TERM CARE HOME,590 Longworth Road,South West,For-Profit,No,Yes,Yes,Yes,,London, N6K4X9,2010-07-05,90,29,14,38,8,4,42,14,7,7,6,2,westmount gardens long term care home,1,160,London,3539036,42.95042607,-81.30566973
WESTON TERRACE CARE COMMUNITY,2005 Lawrence Avenue West,Central,For-Profit,No,Yes,Yes,Yes,,Toronto, M9N3V4,2010-08-24,40,25,15,21,12,7,12,9,6,10,8,6,weston terrace care community,1,224,Toronto,3520005,43.70123959,-79.51015143
WESTSIDE,1145 Albion Road,Central West,For-Profit,Yes,Yes,Yes,Yes,,Etobicoke, M9V4J7,2010-09-13,52,19,12,30,9,7,15,5,4,11,8,5,westside,1,242,Toronto,3520005,43.73728579,-79.56777145
WIKWEMIKONG NURSING HOME,2281 Wikwemikong Way P.O. Box 114,North East,Non-Profit,Yes,Yes,No,Yes,,Wikwemikong, P0P2J0,2010-07-27,54,24,12,12,5,2,16,8,4,20,11,4,wikwemikong nursing home,1,59,Wikwemikong Unceded,3551043,45.80266553,-81.72321194
WILDWOOD CARE CENTRE,100 Ann Street P.O. Box 2200,South West,For-Profit,No,Yes,Yes,Yes,,St. Marys, N4X1A1,2011-07-28,25,10,6,4,1,1,14,6,4,2,,,wildwood care centre,0,60,St. Marys,3531016,43.26076283,-81.15463991
WILKES TERRACE,20B Cartier Road,North West,Non-Profit,No,Yes,Yes,Yes,,Terrace Bay, P0T2W0,2011-12-05,9,5,2,2,,,1,1,1,2,,,wilkes terrace,0,22,Terrace Bay,3558054,48.78045446,-87.10460125
"WILLIAM A. ""BILL"" GEORGE EXTENDED CARE FACILITY",75 Fifth Avenue,North West,Non-Profit,No,Yes,No,Yes,,Sioux Lookout, P8T1K9,2011-11-01,12,8,3,1,,,3,3,2,2,1,,william a. 'bill' george extended care facility,0,20,Sioux Lookout,3560034,50.10591688,-91.91875908
WINBOURNE PARK,1020 Westney Road North,Central East,For-Profit,Yes,Yes,Yes,Yes,,Ajax, L1T4K6,2010-08-24,44,26,8,21,10,5,15,10,2,3,2,,winbourne park,1,110,Ajax,3518005,43.87711914,-79.0444691
WOODBRIDGE VISTA CARE COMMUNITY,5400 Steeles Avenue West,Central West,For-Profit,No,Yes,Yes,Yes,,Woodbridge, L4L9S1,2010-11-17,61,28,20,33,14,11,22,11,8,13,11,8,woodbridge vista care community,1,224,Vaughan,3519028,43.75961009,-79.59777826
WOODHALL PARK CARE COMMUNITY,10260 Kennedy Road North,Central West,For-Profit,No,Yes,Yes,Yes,,Brampton, L6Z4N7,2010-10-19,39,17,8,16,5,2,14,6,5,6,4,2,woodhall park care community,1,147,Brampton,3521010,43.72036028,-79.78370712
WOODINGFORD LODGE - INGERSOLL,325 Thames Street South,South West,Municipal,No,Yes,No,No,,Ingersoll, N5C2T8,2010-08-23,21,12,10,5,2,2,10,6,6,3,3,2,woodingford lodge - ingersoll,0,34,Ingersoll,3532018,43.03178131,-80.8764522
WOODINGFORD LODGE - TILLSONBURG,52 Venison Street West,South West,Municipal,Yes,Yes,Yes,No,,Tillsonburg, N4G1V1,2010-07-29,19,10,7,4,2,2,5,2,2,1,1,1,woodingford lodge - tillsonburg,0,34,Tillsonburg,3532004,42.86207678,-80.73465634
WOODINGFORD LODGE - WOODSTOCK,300 Juliana Drive,South West,Municipal,Yes,Yes,No,No,,Woodstock, N4V0A1,2010-08-10,40,20,14,13,4,3,19,12,10,3,1,1,woodingford lodge - woodstock,0,160,Woodstock,3532042,43.10811442,-80.75668277
WOODLAND VILLA,30 Milles Roches Road R. R. #1,Champlain,For-Profit,No,Yes,Yes,Yes,,Long Sault, K0C1P0,2011-06-15,45,23,7,19,8,3,12,6,2,8,5,,woodland villa,1,111,South Stormont,3501011,45.03376712,-74.88721694
WOODS PARK CARE CENTRE,110 Lillian Crescent,North Simcoe Muskoka,For-Profit,Yes,Yes,Yes,Yes,,Barrie, L4N5H7,2011-11-17,31,16,8,14,6,2,7,3,3,5,4,1,woods park care centre,1,123,Barrie,3543042,44.4026669,-79.71672256
WYNDHAM MANOR LONG TERM CARE CENTRE,291 Reynolds Street,Mississauga Halton,Non-Profit,No,Yes,Yes,Yes,,Oakville, L6J3L5,2010-08-27,35,9,7,12,2,2,12,3,3,8,2,2,wyndham manor long term care centre,1,128,Oakville,3524001,43.45245024,-79.67269066
YEE HONG CENTRE - MARKHAM,2780 Bur Oak Avenue,Central,Non-Profit,Yes,Yes,Yes,Yes,,Markham, L6B1C9,2011-11-16,13,9,4,2,1,1,4,3,2,1,1,,yee hong centre - markham,1,200,Markham,3519036,43.89427733,-79.23115846
YEE HONG CENTRE - MISSISSAUGA,5510 Mavis Road,Mississauga Halton,Non-Profit,Yes,Yes,Yes,Yes,,Mississauga, L5V2X5,2011-08-03,24,15,8,11,5,4,7,4,3,2,2,1,yee hong centre - mississauga,1,200,Mississauga,3521005,43.60476896,-79.68690548
YEE HONG CENTRE - SCARBOROUGH FINCH,60 Scottfield Drive,Central East,Non-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1S5T7,2010-11-24,17,11,8,4,3,3,9,5,5,1,1,1,yee hong centre - scarborough finch,1,250,Toronto,3520005,43.80871682,-79.25466546
YEE HONG CENTRE - SCARBOROUGH MCNICOLL,2311 McNicoll Avenue,Central East,Non-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1V5L3,2010-11-26,15,8,3,5,3,1,3,1,,3,,,yee hong centre - scarborough mcnicoll,1,155,Toronto,3520005,43.81423242,-79.29021727
YORK REGION MAPLE HEALTH CENTRE,10424 Keele Street,Central,Municipal,Yes,Yes,Yes,Yes,,Maple, L6A2L1,2010-10-26,25,18,10,10,6,2,5,3,3,6,5,3,york region maple health centre,0,100,Vaughan,3519028,43.86500652,-79.51564435
YORK REGION NEWMARKET HEALTH CENTRE,194 Eagle Street,Central,Municipal,Yes,Yes,Yes,Yes,,Newmarket, L3Y1J6,2010-11-19,29,19,11,11,6,4,9,6,5,7,4,2,york region newmarket health centre,0,132,Newmarket,3519048,44.04550395,-79.46877495
