FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,PHONE,OPERATOR_NAME,OPEN_DATE,COUNCIL,MEETINGS_HELD,PARKING_COSTS,REGULATION,ACCRED_STATUS,ACCRED_EXPIRY,COMPLAINT_CONTACT,COMPLAINT_PHONE,SPENDING_ACCOUNT,FOOD_SERVICE,FOOD_PREP,FOOD_COST_LASTYR,FOOD_COST_CURRENTYR,LANGUAGES,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,FEES_CABLE,FEES_TELE,FEES_INTERNET,FEES_OTHER,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,ADVERSE_EVENT,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,WEBPAGE,SURVEY_URL,MISSING_SURVEY,CONTRACTED_NURSING,CONTRACTED_CARE_AIDES,CONTRACTED_HOUSEKEEPING,CONTRACTED_PLANT,PER_DIEM_LASTYR,PER_DIEM_CURRENTYR,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,cleaned_name,Facility Name,Total Confirmed Cases,Total Deaths,outbreak
Mariposa Gardens,935JA,Interior Health,PFP,8816 97th Street (highway 97),Osoyoos,V0H1V5,(250) 495-8124,Sienna Senior Living,2008,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,General Manager,(250) 495-8124x102,Yes,Operator,Yes,$6.52,$7.13,"English, Portuguese, Punjabi",2.8,0.35,3.15,2.92,0.35,3.27,No,No,No,,5,104,109,97,6,0,2,1,3,3,16,0,0,2,2,0,2.8,2.8,14.7,0.0,0.0,1.8,1.8,0.0,not applicable,86,72.4%,62.0%,0.9%,801,16.9%,10.8%,42.9%,88.1%,11.2%,4.1,11.0%,0.58,14.8%,34.7%,0.0%,65.6%,13.6%,5.7%,https://www.siennaliving.ca/long-term-care/british-columbia/mariposa-gardens-care-community,https://surveybcseniors.org/carehomeresults/mariposa-gardens-iha/,,No,No,No,No,$206.52,$213.36,3.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.034727000000004,-119.47705829999998,mariposa gardens,,,,0
McBride and District Hospital,9A681,Northern Health,HA,1136 5th Avenue,McBride,V0J2E0,(250) 569-2251,Northern Health,2001,,,Yes (no fee),Hospital Act,Accredited,June 2022,Patient Care Manager,(250) 569-7326,Yes,,,$13.07,$11.44,"English, Hungarian, Ukrainian",3.15,0.0,3.15,3.61,0.0,3.61,,,,,0,9,9,7,1,0,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not applicable,93,50.0%,100.0%,0.0%,,19.4%,51.6%,35.5%,96.8%,3.2%,3.6,19.4%,0.59,9.7%,0.0%,0.0%,45.2%,37.3%,20.0%,https://www.northernhealth.ca/locations/long-term-care/mcbride-and-district-hospital,,Residential care survey results for facilities with fewer than 10 respondents are not accessible.,,,,,,,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,53.30163979999999,-120.16082809999999,mcbride and district hospital,,,,0
McKinney Place - South Okanagan General Hospital,9A722,Interior Health,HA,911 McKinney Road,Oliver,V0H1T3,(250) 498-5040,Interior Health,1980,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Manager,(250) 485-5055,Yes,Operator,Yes,$6.94,$8.56,"English, French, German, Hindi",2.85,0.34,3.19,2.85,0.34,3.19,No,No,No,,0,75,75,7,4,15,0,0,1,2,7,0,0,1,0,0,1.3,2.7,9.3,0.0,0.0,1.3,0.0,0.0,not applicable,86,62.1%,66.5%,2.3%,210,25.7%,22.9%,28.6%,66.9%,3.7%,1.7,74.3%,0.54,9.4%,22.4%,2.9%,28.6%,15.8%,4.1%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=McKinney%20Place,https://surveybcseniors.org/carehomeresults/mckinney-place-south-okanagan-general-hospital-iha/,,No,No,No,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1835315,-119.53900043064311,mckinney place - south okanagan general hospital,,,,0
Menno Home,98H8D,Fraser Health,PNP,32910 Brundige Ave,Abbotsford,V2S1N2,(604) 853 -2411,Mennonite Benevolent Society,1954,"Resident Council, Family Council",Regular Schedule,Yes (fee charged),Community Care & Assisted Living Act,Accredited,October 2021,"Karen L Baillie, CEO or Janet Bergen, Executive Director of Care Services",(604) 859-7631,Yes,Operator,Yes,$6.33,$6.78,English,2.48,0.31,2.79,2.7,0.33,3.03,No,No,No,Minor 3rd party billing fees,0,196,196,186,5,0,2,0,0,0,20,0,1,1,1,0,0.0,0.0,10.2,0.0,0.5,0.5,0.5,0.0,not applicable,87,64.1%,62.8%,2.2%,780,22.4%,15.1%,23.9%,81.8%,16.6%,3.0,44.3%,0.56,5.9%,84.3%,4.4%,58.0%,12.3%,3.6%,https://mennoplace.ca/menno-home/,https://surveybcseniors.org/carehomeresults/menno-home-fha/,,No,No,No,No,$191.55,$204.36,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0401555,-122.3081538,menno home,,,,0
Menno Hospital,9A6H1,Fraser Health,PNP,32945 Marshall Road,Abbotsford,V2S1K1,(604) 859-7631,Mennonite Benevolent Society,1960,"Resident Council, Family Council",Regular Schedule,Yes (fee charged),Hospital Act,Accredited,October 2021,"Karen L Baillie, CEO or Janet Bergen, Executive Director of Care Services",(604) 859-7631,Yes,Operator,Yes,$7.37,$7.40,English,2.99,0.38,3.37,2.99,0.38,3.37,No,No,No,,0,151,151,59,43,2,0,0,1,0,16,0,0,0,2,1,0.7,0.0,10.6,0.0,0.0,0.0,1.3,0.7,not applicable,88,76.3%,73.2%,3.3%,834,24.0%,25.7%,18.0%,61.1%,8.5%,2.3,57.9%,0.59,10.6%,70.7%,6.4%,51.8%,5.1%,4.4%,https://mennoplace.ca/menno-hospital/,https://surveybcseniors.org/carehomeresults/menno-hospital-fha/,,Yes,No,No,No,$221.51,$225.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.03929855,-122.31110698892836,menno hospital,,,,0
Minoru Residence,9A5B4,Vancouver Coastal Health,HA,7333 Gollner Avenue,Richmond,V6Y0J1,(604) 244-5300,Vancouver Coastal Health,1993,"Resident Council, Family Council",Regular Schedule,Yes (fee charged),Hospital Act,Accredited,September 2020,Manager,(604) 244-5307,Yes,Outside Contractor,Yes,$9.09,$9.27,"English, German, Punjabi, Hindi, Cantonese, Mandarin, Tagalog, Russian, French, Japanese, Polish, Gujarati",2.94,0.3,3.24,2.93,0.31,3.24,No,No,No,,0,250,250,70,90,0,0,0,2,0,14,0,0,0,0,0,0.8,0.0,5.6,0.0,0.0,0.0,0.0,0.0,not applicable,84,58.3%,57.2%,5.5%,"1,304",17.5%,52.7%,32.8%,38.5%,3.8%,2.1,63.5%,0.60,32.8%,1.8%,14.9%,40.2%,24.0%,6.2%,http://www.vch.ca/locations-services/result?res_id=8,https://surveybcseniors.org/carehomeresults/minoru-residence-vcha/,,No,No,Yes,No,,,2.0,8.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,49.16897,-123.15,minoru residence,,,,0
Minto House - Arrow Lakes Hospital,9A5A2,Interior Health,HA,97 1st Avenue NE,Nakusp,V0G1R0,(250) 265-5233,Interior Health,1980,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Patient Care Coordinator,(250) 265-4317,Yes,Operator,Yes,$7.85,$8.35,"English, French",2.95,0.51,3.46,2.95,0.51,3.46,No,No,Yes,,0,16,16,15,0,0,0,0,2,0,0,0,0,0,0,0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not applicable,86,64.1%,62.4%,4.3%,604,0.0%,39.0%,32.2%,79.7%,3.4%,3.5,28.8%,0.57,33.9%,0.0%,0.0%,42.4%,23.9%,0.0%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Minto%20House,https://surveybcseniors.org/carehomeresults/arrow-lakes-hospital-minto-iha/,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.239272899999996,-117.79571200000001,minto house - arrow lakes hospital,,,,0
Mission Creek Landing,98J5G,Interior Health,PFP,3081 Hall Rd,Kelowna,V1W2R5,(250) 860-2330,Kaigo Senior Living Group,1979,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2022,Manager,(250) 860-2330,Yes,Operator,Yes,$6.52,$6.67,"English, French, German, Spanish, Polish, Romanian, Portuguese, Tagalog, Filipino, Punjabi, Hindi, Cantonese, Mandarin, Russian, Ukrainian, Indonesian, Greek, Thai, American Sign Language (ASL)",2.8,0.35,3.15,2.87,0.35,3.22,No,No,No,,4,100,104,94,5,0,0,2,2,2,9,0,1,2,1,0,1.9,1.9,8.7,0.0,1.0,1.9,1.0,0.0,not applicable,88,76.0%,75.4%,1.0%,590,28.9%,22.1%,23.4%,74.7%,4.4%,3.4,31.5%,0.54,1.0%,0.3%,12.8%,54.9%,7.5%,2.2%,http://www.kaigo.ca/community/mission-creek-landing/,https://surveybcseniors.org/carehomeresults/sutherland-hills-iha/,,No,No,No,No,$190.28,$195.75,5.0,17.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,49.8697756,-119.429557,mission creek landing,,,,0
Monashee Mews,93D80,Interior Health,PFP,2165 Norris Avenue,Lumby,V0E2G5,(778) 473-0100,Vantage Living Inc,2013,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,January 2021,Community Administrator,(778)-473-0100,Yes,Operator,Yes,$6.06,$6.55,English,2.8,0.35,3.15,2.8,0.35,3.15,No,No,No,,0,46,46,46,0,0,0,0,0,6,2,0,1,0,2,0,0.0,13.0,4.3,0.0,2.2,0.0,4.3,0.0,not applicable,85,62.7%,67.5%,8.3%,724,51.9%,27.1%,30.9%,73.5%,10.5%,2.4,58.6%,0.59,10.5%,37.6%,18.8%,71.3%,23.3%,17.6%,https://vantageliving.ca/community/monashee-mews/,https://surveybcseniors.org/carehomeresults/monashee-mews-iha/,,No,No,No,Yes,$216.83,$219.77,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.2498936,-118.9617267,monashee mews,,,,0
Morgan Place,926A0,Fraser Health,PFP,3288 156a St,Surrey,V3Z9T1,(604) 535-7328,Ahmon Group,2001,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,May 2021,Director of Care / Quality Assurance Coordinator,(604) 535-7328,Yes,Outside Contractor,Yes,$6.75,$6.84,"Punjabi, Spanish, Korean, Filipino, English, Mandarin, Cantonese",2.48,0.31,2.79,3.0,0.36,3.36,No,No,Yes,,13,128,141,111,5,0,0,0,0,0,4,0,0,0,0,0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,not applicable,90,55.4%,75.3%,1.1%,458,23.7%,33.1%,25.1%,67.1%,10.3%,2.6,49.2%,0.60,38.9%,63.4%,0.0%,57.0%,13.8%,9.1%,http://www.morganplace.ca/,https://surveybcseniors.org/carehomeresults/morgan-place-fha/,,No,No,Yes,No,$219.19,$232.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.062332,-122.79006899999999,morgan place,,,,0
Mount Cartier Court - Queen Victoria Hospital,92JJ0,Interior Health,HA,1200 Newlands Rd,Revelstoke,V0E2S1,(250) 814-2232,Interior Health,2006,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2019,Manager,(250) 814-2224,Yes,Operator,Yes,$7.92,$9.26,English,3.0,0.4,3.4,3.07,0.41,3.49,No,No,No,"Clothing labeling, ID bracelet",0,44,44,38,6,0,0,0,1,0,4,0,0,1,0,0,2.3,0.0,9.1,0.0,0.0,2.3,0.0,0.0,not applicable,87,68.6%,64.3%,7.1%,"1,045",26.8%,34.5%,31.5%,73.2%,6.5%,3.1,38.7%,0.61,7.7%,10.7%,9.5%,60.7%,15.8%,4.3%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Mt.%20Cartier%20Court,https://surveybcseniors.org/carehomeresults/mount-cartier-court-queen-victoria-hospital-iha/,,No,No,No,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9769146,-118.1847111,mount cartier court - queen victoria hospital,,,,0
Mount Ida Mews,93D60,Interior Health,PFP,100 5th Avenue SE,Salmon Arm,V1E4H4,(250) 833-9623,Vantage Living Inc,2012,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,January 2021,Community Administrator,,Yes,,Yes,$6.52,$6.49,"English, French, Spanish, Dutch, German, Filipino, Hindi",2.8,0.35,3.15,3.0,0.35,3.35,No,No,Yes,"Hairdresser, general store, footcare, dental hygienist",1,131,132,72,0,0,1,0,0,3,10,0,0,0,1,0,0.0,2.3,7.6,0.0,0.0,0.0,0.8,0.0,not applicable,86,62.1%,55.8%,2.3%,837,36.1%,8.4%,23.9%,73.9%,20.6%,2.3,54.5%,0.56,4.2%,19.7%,3.5%,56.5%,13.0%,11.5%,https://vantageliving.ca/community/mount-ida-mews/,https://surveybcseniors.org/carehomeresults/mount-ida-mews-iha/,,No,No,No,No,$201.83,$197.60,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.696003000000005,-119.28418,mount ida mews,,,,0
Mount Saint Joseph Hospital,9A54J,Vancouver Coastal Health,PNP,3080 Prince Edward Street,Vancouver,V5T3N4,(604) 874-1141,Providence Health Care Society,2004,"Resident Council, Family Council",Regular Schedule,Yes (fee charged),Hospital Act,Accredited,November 2021,Clinical Nurse Leader / Social Worker / Operations Leader/Resident Relation Leader,(604) 877-8520 / (604) 877-8541/ (604) 877-8542/(604) 806-8264,Yes,Outside Contractor,Yes,$8.73,$8.90,"English, Tagalog, Punjabi, Hindi, Cantonese, Mandarin, Polish",2.88,0.29,3.17,2.88,0.29,3.17,No,No,No,"Haircuts, podiatry",0,99,99,16,8,17,0,0,1,0,8,0,0,0,0,0,1.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,not applicable,88,72.8%,72.3%,1.7%,"1,448",22.3%,41.5%,40.2%,58.8%,5.0%,1.8,71.9%,0.62,16.5%,5.2%,18.1%,31.5%,15.4%,2.1%,http://www.providencehealthcare.org/hospitals-residences/mount-saint-joseph-hospital,https://surveybcseniors.org/carehomeresults/mount-st-joseph-hospital-vcha/,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.257699,-123.09635800000001,mount saint joseph hospital,,,,0
Mount St. Mary Hospital,9A6A6,Vancouver Island Health,PNP,861 Fairfield Rd.,Victoria,V8V5A9,(250) 480-3103,Marie Esther Society,2003,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Director of Care,(250) 480-3111,Yes,Operator,Yes,$9.25,$9.76,"German, Cantonese, French, Filipino, Polish, Cantonese, Spanish, Croatian, Japanese",2.85,0.15,3.0,2.87,0.16,3.04,No,No,Yes,Monthly admin fee,0,200,200,184,8,0,5,0,,,,,,,,,,,,,,,,,8,83,74.5%,55.6%,9.7%,883,28.5%,31.4%,29.2%,53.7%,5.2%,2.7,46.3%,0.60,1.3%,9.6%,43.3%,58.5%,25.2%,0.6%,https://mountstmary.ca/,https://surveybcseniors.org/carehomeresults/mount-st-mary-hospital-island/,,No,No,No,No,$222.03,$226.74,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4132064,-123.3446919,mount st. mary hospital,,,,0
Mount Tolmie Hospital,9A5JC,Vancouver Island Health,HA,3690 Richmond Rd.,Victoria,V8P4R6,(250) 370-5757,Vancouver Island Health,1964,"Resident Council, Family Council",Regular Schedule,Yes (fee charged),Hospital Act,Accredited,April 2022,Manager,(250) 370-5751,Yes,Outside Contractor,No,$8.06,$8.16,"Tagalog, Hindi, Punjabi, English, Mandarin",2.9,0.27,3.17,2.91,0.27,3.18,No,No,No,,0,72,72,9,14,9,0,0,,,,,,,,,,,,,,,,,1,85,81.5%,59.4%,1.2%,580,35.3%,31.3%,24.3%,53.3%,5.3%,3.3,35.7%,0.61,0.7%,76.0%,25.3%,53.7%,23.6%,3.7%,https://www.islandhealth.ca/our-locations/long-term-care-locations/mount-tolmie-long-term-care,https://surveybcseniors.org/carehomeresults/mt-tolmie-hospital-island/,,Yes,No,Yes,No,,,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.459924,-123.330454,mount tolmie hospital,,,,0
Mountain Lake Seniors Community,92HIA,Interior Health,PFP,908 11th St,Nelson,V1L7A6,(250) 352-2600,Park Place Seniors Living Inc.,2005,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Program Manager / Community Administrator,(250) 352-2600x126 / (250) 352-2600x103,Yes,Outside Contractor,Yes,$5.69,$5.95,English,2.8,0.35,3.15,3.01,0.35,3.36,No,No,No,,7,85,92,92,0,0,1,1,0,4,5,0,0,0,1,0,0.0,4.3,5.4,0.0,0.0,0.0,1.1,0.0,not applicable,84,65.5%,59.5%,8.1%,980,26.2%,14.5%,25.5%,67.9%,10.0%,3.3,31.7%,0.57,3.4%,0.3%,0.7%,40.7%,25.3%,0.0%,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/interior/mountain-lake/,https://surveybcseniors.org/carehomeresults/mountain-lake-seniors-community-ltd-iha/,,Yes,Yes,Yes,Yes,$195.23,$205.32,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5081403,-117.26611815013092,mountain lake seniors community,,,,0
Mountain View Lodge - Lillooet Hospital and Health Centre,9A4E5,Interior Health,HA,951 Murray St. ,Lillooet,V0K1V0,(250) 256-1312,Interior Health,1980,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2019,Long Term Care Coordinator,(250) 256-1346,Yes,Operator,No,$7.09,$8.26,English,2.9,0.37,3.27,2.9,0.37,3.27,No,No,No,,0,22,22,20,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,not applicable,87,72.3%,66.0%,3.9%,"1,958",47.0%,42.2%,38.6%,78.3%,10.8%,2.6,49.4%,0.65,44.6%,2.4%,0.0%,57.8%,30.6%,0.3%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Mountain%20View%20Lodge,https://surveybcseniors.org/carehomeresults/mountain-view-lodge-lillooet-hosp-hctr-iha/,,,,,,,,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.68929895,-121.93935595579315,mountain view lodge - lillooet hospital and health centre,,,,0
Mountain View Manor - Delta Hospital,9A56E,Fraser Health,HA,5800 Mountain View Boulevard,Delta,V4K3V6,(604) 940-3416 ext. 787340,Fraser Health,,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Manager / Resident Care Coordinator,(604) 946-1121 x.783299,Yes,Operator,Yes,$7.13,$7.36,"Portuguese, English, Italian, Mandarin, Cantonese, Punjabi, German, Dutch, Tagalog",3.04,0.37,3.41,3.04,0.37,3.41,Yes,Yes,Yes,,0,92,92,12,4,18,0,0,0,0,3,0,0,0,1,0,0.0,0.0,3.3,0.0,0.0,0.0,1.1,0.0,not applicable,90,64.6%,73.6%,1.1%,911,11.5%,44.7%,28.1%,45.3%,5.0%,1.7,72.5%,0.58,21.6%,63.0%,1.5%,37.9%,22.0%,3.6%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/6/7/residential-care---mountain-view-manor#.XROQGEmouUk,https://surveybcseniors.org/carehomeresults/mountain-view-manor-at-delta-hospital-fha/,,No,Yes,Yes,No,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0856824,-123.06125243089485,mountain view manor - delta hospital,,,,0
Mountainview Lodge - Kitimat General Hospital,9A630,Northern Health,HA,920 Lahakas Blvd. S,Kitimat,V8C2S3,(250) 632-8357,Northern Health,2002,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,June 2022,Sarah Degerness - Site Coordinator,(250) 632-8337,Yes,Operator,No,$13.03,$13.13,"English, Portuguese, Tagalog, Punjabi",3.13,0.27,3.41,3.02,0.43,3.45,No,No,Yes,Clothing labelling fee,0,36,36,32,2,0,,,0,0,1,0,0,0,0,0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,not applicable,82,73.6%,45.9%,5.0%,,47.6%,48.4%,41.1%,47.6%,0.8%,2.5,51.6%,0.62,0.0%,8.1%,0.0%,45.2%,21.0%,8.0%,https://www.northernhealth.ca/locations/long-term-care/mountainview-lodge,https://surveybcseniors.org/carehomeresults/mountainview-lodge-kitimat-general-hospital-nha/,,No,No,No,No,,,2.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,54.05427370000001,-128.6552266,mountainview lodge - kitimat general hospital,,,,0
Mountainview Village,93240,Interior Health,PNP,1540 K.L.O. Road,Kelowna,V1W3P6,(250) 469-6935,The Good Samaritan Society,2007,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2020,Site Manager,(250) 717-4022,Yes,Operator,Yes,$10.14,$9.22,"English, Filipino",2.8,0.35,3.15,2.8,0.35,3.15,No,No,No,,0,90,90,90,0,0,0,0,0,0,11,0,0,1,12,0,0.0,0.0,12.2,0.0,0.0,1.1,13.3,0.0,not applicable,84,61.8%,59.8%,5.3%,782,20.4%,19.6%,34.9%,71.5%,15.3%,2.9,34.7%,0.59,1.1%,10.2%,0.3%,53.0%,42.9%,6.8%,https://gss.org/locations/mountainview-village/,https://surveybcseniors.org/carehomeresults/mountainview-village-iha/,,Yes,Yes,No,No,$212.71,$219.45,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,49.8610063,-119.45656029999999,mountainview village,,,,0
Nanaimo Seniors Village,9261A,Vancouver Island Health,PFP,6085 Uplands Drive,Nanaimo,V9V1T8,(250) 729-9524,Retirement Concepts,2004,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,February 2022,Director of Care,(250) 760-2307,Yes,Outside Contractor,Yes,$8.76,$8.56,"English, Filipino, Hindi, Taiwanese, Tagalog, German, Ukrainian, French, Mandarin",2.9,0.18,3.08,3.01,0.22,3.23,No,No,No,Clothing labelling fee,16,134,150,150,0,0,4,1,0,0,13,0,0,3,4,13,0.0,0.0,8.7,0.0,0.0,2.0,2.7,8.7,not applicable,85,67.2%,61.7%,5.1%,906,28.4%,28.0%,31.9%,55.8%,8.2%,3.4,26.1%,0.57,1.6%,4.3%,0.0%,40.5%,37.7%,16.3%,https://www.retirementconcepts.com/locations/nanaimo-seniors-village/,https://surveybcseniors.org/carehomeresults/nanaimo-seniors-village-island/,,Yes,Yes,Yes,Yes,$224.14,$232.46,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.236311,-124.03886000000001,nanaimo seniors village,,,,0
Nelson Jubilee Manor,98G4A,Interior Health,HA,500 Beasley St West,Nelson,V1L6G9,(250) 352-7011,Interior Health,1979,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2019,Manager / Care Coordinator,(250) 352-7011x35 / (250) 352-7011x34,Yes,Operator,Yes,$7.49,$8.37,"Russian, Ukrainian, Tagalog, Mandarin, French",2.84,0.41,3.25,2.84,0.41,3.25,No,No,No,,0,39,39,39,0,0,0,0,1,2,1,0,0,0,0,1,2.6,5.1,2.6,0.0,0.0,0.0,0.0,2.6,not applicable,85,71.2%,61.9%,8.5%,607,29.4%,48.4%,22.9%,52.9%,3.3%,2.2,61.4%,0.60,10.5%,0.0%,10.5%,49.7%,22.2%,9.1%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Nelson%20Jubilee%20Manor,https://surveybcseniors.org/carehomeresults/nelson-jubilee-manor-iha/,,No,No,No,No,,,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,49.4795674,-117.29899609999998,nelson jubilee manor,,,,0
New Vista Care Home,99C37,Fraser Health,PNP,7550 Rosewood Street,Burnaby,V5E3Z3,(604) 521-7764,New Vista Society,1975,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,October 2021,Manager - Executive Services,(604) 521-7765 x 1155,Yes,Operator,Yes,$7.97,$8.15,"English, Cantonese, Tagalog, Polish, Russian, Romanian, Punjabi, Hindi, French, German, Hungarian, Japanese",2.42,0.31,2.73,2.67,0.32,2.99,No,No,No,,0,236,236,236,0,0,3,1,0,1,27,1,0,7,4,17,0.0,0.4,11.4,0.4,0.0,3.0,1.7,7.2,not applicable,83,62.5%,49.3%,4.7%,"1,087",14.4%,29.5%,31.9%,72.9%,13.3%,2.7,48.8%,0.52,21.0%,37.6%,0.0%,52.4%,32.8%,8.1%,https://newvista.bc.ca/,https://surveybcseniors.org/carehomeresults/new-vista-care-home-fha/,,No,No,No,No,$187.13,$200.59,5.0,16.0,0.0,3.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,49.223943799999994,-122.94541269093858,new vista care home,new vista care home,20.0,3.0,1
