FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop,INCIDENT_OUTBREAK_100_CAT,INFRACTION_DISEASE_CAT
Three Links Manor,9AHHB,Interior Health,HA,1449 Kelglen Cres,Kelowna,V1Y8P4,Community Care & Assisted Living Act,Accredited,2.8,0.36,3.16,2.79,0.37,3.17,82,82,0,0,0,0,1,0,6,0,0,3,4,0,1.2,0,7.3,0,0,3.7,4.9,0,86,65.90%,56.10%,3.70%,810,21.90%,40.10%,35.60%,77.80%,13.70%,1.8,69.90%,0.63,6.70%,18.80%,26.40%,42.20%,29.20%,17.40%,1,1,0,0,0,0,0,0,0,0,0,1,0,0,49.883268,-119.4669195,,,0,TRUE,TRUE,0,>0,0
Totem Lodge - Sechelt Hospital,9A563,Vancouver Coastal Health,HA,5544 Sunshine Coast Highway,Sechelt,V0N3A0,Hospital Act,Accredited,2.92,0.22,3.14,2.93,0.21,3.14,49,3,3,10,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,85,67.80%,57.60%,7.30%,683,22.60%,33.90%,31.00%,60.10%,6.00%,2,67.30%,0.59,4.80%,0.00%,0.00%,49.40%,16.00%,14.80%,1,5,0,1,0,0,2,0,0,0,0,2,0,0,49.50828093,-123.8980318,,,0,TRUE,TRUE,0,0,0
Trillium Lodge,9AD7B,Vancouver Island Health,HA,401 Moilliet St,Parksville,V9P1N3,Hospital Act & Community Care & Assisted Living Act,Accredited,2.88,0.33,3.21,2.86,0.33,3.2,91,58,3,9,2,1,0,3,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,84,74.90%,58.50%,1.00%,450,23.90%,28.70%,29.30%,59.10%,4.20%,3,38.50%,0.56,3.00%,11.60%,14.00%,54.60%,31.00%,7.10%,4,3,0,0,0,0,0,0,0,0,0,3,0,0,49.311376,-124.32514,,,0,TRUE,TRUE,0,0,0
Trinity Care Centre,9AGF1,Interior Health,HA,75 Green Ave West,Penticton,V2A7N6,Community Care & Assisted Living Act,Accredited,2.83,0.36,3.19,2.83,0.36,3.19,75,75,0,0,0,0,2,0,2,0,0,1,0,0,2.7,0,2.7,0,0,1.3,0,0,83,64.50%,49.90%,6.10%,741,11.90%,48.10%,19.50%,54.90%,2.40%,2.8,43.30%,0.56,12.30%,0.00%,0.30%,37.90%,27.10%,6.30%,1,3,0,0,1,0,1,0,0,0,0,1,0,0,49.4631452,-119.5894601,,,0,TRUE,TRUE,0,>0,0
Tsawaayuus - Rainbow Gardens,9C2FI,Vancouver Island Health,PNP,6151 Russell Place,Port Alberni,V9Y7W3,Hospital Act,Unknown,2.55,0.34,2.89,2.58,0.37,2.95,30,31,0,0,0,0,,,,,,,,,,,,,,,,,80,53.60%,42.00%,12.30%,802,18.80%,26.60%,15.60%,42.20%,3.90%,2.9,30.50%,0.53,0.00%,0.00%,0.00%,49.20%,22.10%,0.00%,1,2,0,0,1,0,0,0,0,0,0,1,0,0,49.2690022,-124.8462038,,,0,TRUE,FALSE,0,unknown,0
Valhaven Rest Home,98H9F,Fraser Health,PNP,4212 Balmoral St,Abbotsford,V4X1Y5,Community Care & Assisted Living Act,Accredited,2.43,0.3,2.73,3,0.36,3.36,26,26,0,0,1,0,0,0,2,0,0,0,0,0,0,0,7.7,0,0,0,0,0,91,73.70%,82.50%,1.50%,"1,063",4.30%,27.70%,21.30%,74.50%,10.60%,3.8,28.70%,0.62,14.90%,0.00%,0.00%,53.20%,29.30%,5.30%,3,5,0,1,0,1,1,0,0,0,0,2,0,0,49.0789671,-122.3857153,9,1,1,TRUE,TRUE,0.153846154,0,0
Valleyhaven,98HA8,Fraser Health,PFP,45450 Menholm Rd.,Chilliwack,V2P1M2,Community Care & Assisted Living Act,Accredited,2.56,0.3,2.86,3,0.36,3.36,91,83,4,0,3,0,0,1,12,0,0,3,0,2,0,1.1,13.2,0,0,3.3,0,2.2,87,63.50%,66.40%,3.70%,576,18.80%,19.90%,25.70%,61.00%,9.20%,2.4,50.70%,0.55,8.50%,69.90%,0.00%,48.20%,19.60%,6.00%,2,2,0,0,0,1,1,0,0,0,0,0,0,0,49.1664458,-121.9661444,,,0,TRUE,TRUE,0.010989011,0,0
Veterans Memorial Lodge,916HD,Vancouver Island Health,PNP,4579 Chatterton Way,Saanich,V8X4Y7,Hospital Act,Accredited,2.98,0.24,3.22,2.99,0.34,3.33,225,201,12,0,1,0,,,,,,,,,,,,,,,,,89,39.30%,73.30%,2.20%,706,19.60%,26.70%,38.30%,71.80%,7.80%,2.7,47.70%,0.59,2.80%,0.10%,1.40%,35.80%,17.30%,2.20%,1,2,0,0,2,0,0,0,0,0,0,0,0,0,48.4968,-123.3785,,,0,FALSE,TRUE,0,unknown,0
Victoria Chinatown Care Centre,9AC99,Vancouver Island Health,PNP,555 Herald Street,Victoria,V8W1S5,Community Care & Assisted Living Act,Accredited,3.15,0.02,3.17,3.18,0.04,3.22,31,29,1,0,1,1,0,0,7,0,0,1,2,1,0,0,22.6,0,0,3.2,6.5,3.2,85,62.00%,66.70%,0.80%,"2,080",25.40%,23.00%,20.50%,73.80%,4.90%,2.9,42.60%,0.52,0.80%,59.80%,7.40%,50.00%,5.10%,0.80%,2,6,0,0,0,2,1,1,0,0,0,2,0,0,48.4299113,-123.3676465,,,0,TRUE,TRUE,0,0,>0
Victorian Community Health Centre of Kaslo,98GA3,Interior Health,HA,673A Avenue,Kaslo,V0G1M0,Community Care & Assisted Living Act,Accredited,3.14,0.33,3.47,3.14,0.34,3.48,20,17,3,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,88,70.80%,73.60%,7.50%,"2,306",37.80%,32.40%,17.60%,59.50%,14.90%,3.3,31.10%,0.61,40.50%,6.80%,1.40%,70.30%,35.30%,1.10%,1,5,0,1,1,1,2,0,0,0,0,0,0,0,49.9134786,-116.9140496,,,0,TRUE,TRUE,0,0,0
Villa Carital,9198G,Vancouver Coastal Health,PNP,3050 Penticton St,Vancouver,V5M4W2,Community Care & Assisted Living Act,Not Accredited,3.28,0.32,3.6,3.28,0.35,3.63,81,60,12,0,1,0,0,0,5,0,0,5,0,4,0,0,6.2,0,0,6.2,0,4.9,88,81.20%,73.50%,1.10%,"1,468",39.30%,37.40%,45.10%,68.70%,17.20%,2.4,54.30%,0.61,14.70%,90.50%,2.50%,69.90%,41.90%,5.00%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2565839,-123.0521465,,,0,TRUE,TRUE,0.061728395,0,0
Villa Cathay Care Home,999II,Vancouver Coastal Health,PNP,970 Union Street,Vancouver,V6A3V1,Community Care & Assisted Living Act,Not Accredited,2.75,0.18,2.93,2.88,0.23,3.11,134,112,19,0,0,0,0,0,2,0,0,1,0,0,0,0,1.5,0,0,0.7,0,0,89,79.20%,77.00%,0.60%,"1,682",16.30%,44.80%,13.00%,50.20%,3.70%,3.5,33.90%,0.53,0.00%,0.40%,0.20%,28.50%,15.60%,11.40%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49.277208,-123.084,1,0,1,TRUE,TRUE,0.029850746,0,0
Village at Mill Creek,9911G,Interior Health,PNP,1450 Sutherland Avenue,Kelowna,V1Y5Y5,Hospital Act,Unknown,2.8,0.35,3.15,2.98,0.35,3.33,96,96,0,0,0,0,0,0,4,0,0,3,3,2,0,0,4.2,0,0,3.1,3.1,2.1,86,62.90%,66.10%,4.20%,"1,153",25.20%,28.50%,23.50%,83.40%,15.50%,2.5,55.10%,0.53,3.00%,41.60%,14.10%,37.10%,22.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8803526,-119.4681306,,,0,TRUE,TRUE,0.145833333,0,0
Village at Smith Creek,9C1H6,Interior Health,PNP,2425 Orlin Road,West Kelowna,V4T3C7,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.98,0.35,3.33,139,130,8,0,0,0,4,2,21,2,0,8,11,0,2.9,1.4,15.1,1.4,0,5.8,7.9,0,86,62.80%,61.90%,3.50%,937,31.70%,30.20%,29.20%,69.80%,6.00%,2.8,40.80%,0.56,3.80%,29.00%,0.00%,58.10%,24.80%,3.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8433445,-119.6279642,,,0,TRUE,TRUE,0.007194245,>0,0
Village by the Station,92CBA,Interior Health,PNP,270 Hastings Avenue,Penticton,V2A2V6,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.8,0.35,3.15,100,133,4,0,1,0,2,4,14,0,1,0,3,1,2,4,14,0,1,0,3,1,84,70.70%,50.20%,2.90%,646,18.20%,19.70%,26.50%,72.20%,8.30%,2.6,53.50%,0.55,14.90%,10.60%,0.80%,34.30%,35.60%,8.20%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4851093,-119.5957646,,,0,TRUE,TRUE,0,>0,0
Waverly Seniors Village,922DF,Fraser Health,PFP,8445 Young Rd,Chilliwack,V2P4P2,Community Care & Assisted Living Act,Accredited,2.45,0.28,2.73,2.67,0.28,2.95,53,51,1,0,1,1,2,0,2,0,0,3,0,1,3.8,0,3.8,0,0,5.7,0,1.9,87,74.20%,77.40%,5.00%,511,31.10%,36.10%,29.40%,73.10%,10.10%,2.9,32.80%,0.6,0.80%,62.20%,0.00%,47.90%,27.30%,15.50%,3,8,0,1,3,0,3,1,0,0,0,0,0,0,49.155593,-121.95191,,,0,TRUE,TRUE,0.41509434,>0,>0
West Shore Laylum,9927D,Fraser Health,PFP,4900 Central Ave,Delta,V4K2G7,Community Care & Assisted Living Act,Not Accredited,2.43,0.3,2.73,2.74,0.3,3.04,55,45,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1.8,0,0,0,0,0,89,76.10%,72.90%,0.00%,304,38.60%,30.70%,29.70%,69.30%,8.90%,1.7,73.30%,0.52,29.70%,68.30%,0.00%,49.50%,21.50%,12.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0482742,-122.7977542,,,0,TRUE,TRUE,0,0,0
West Vancouver Care Centre,9B9IG,Vancouver Coastal Health,PFP,1675 27th Street,West Vancouver,V7V4K9,Hospital Act,Unknown,2.37,0.13,2.5,2.65,0.09,2.74,78,23,16,7,0,0,0,0,7,0,0,1,0,0,0,0,9,0,0,1.3,0,0,87,75.40%,70.40%,1.80%,987,26.10%,30.70%,21.80%,60.40%,2.50%,2.6,52.50%,0.58,34.60%,3.90%,3.20%,52.90%,27.70%,3.20%,1,2,0,2,0,0,0,0,0,0,0,0,0,0,49.3404055,-123.1887782,,,0,TRUE,TRUE,0.038461538,0,0
Westhaven,9A642,Vancouver Island Health,HA,3949 Pt. Alberni Hwy,Port Alberni,V9Y4S1,Hospital Act,Accredited,3.13,0.29,3.42,3.13,0.29,3.42,32,32,0,0,0,0,,,,,,,,,,,,,,,,,80,64.80%,40.80%,7.20%,794,18.30%,26.60%,30.30%,44.00%,2.80%,3,45.00%,0.55,24.80%,20.20%,0.90%,52.30%,14.70%,0.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2665244,-124.7749064,,,0,FALSE,FALSE,0,unknown,0
Westview Extended Care - Pentiction Regional Hospital,9A6F7,Interior Health,HA,550 Carmi Ave,Penticton,V2A8P9,Hospital Act,Accredited,2.86,0.33,3.19,2.9,0.42,3.32,102,10,10,18,0,0,1,0,5,0,1,0,1,0,1,0,4.9,0,1,0,1,0,86,58.80%,68.20%,4.40%,739,15.80%,31.30%,15.50%,62.30%,4.20%,3.2,36.80%,0.58,11.30%,3.20%,10.30%,32.60%,38.30%,6.60%,1,4,0,1,0,0,1,1,0,0,0,1,0,0,49.4826229,-119.5763397,,,0,TRUE,TRUE,0,>0,>0
Wexford Creek Seniors Community,9358A,Vancouver Island Health,PFP,80 10th Street,Nanaimo,V9R0A8,Community Care & Assisted Living Act,Accredited,2.95,0.16,3.11,2.96,0.15,3.12,110,110,0,0,6,2,0,0,7,0,0,1,1,1,0,0,6.4,0,0,0.9,0.9,0.9,85,64.70%,53.60%,3.20%,856,22.80%,16.10%,20.30%,68.10%,13.10%,1.4,77.20%,0.56,0.00%,5.70%,0.00%,48.30%,30.90%,7.40%,5,12,0,0,3,1,1,1,3,0,0,3,0,0,49.13114,-123.925188,,,0,TRUE,TRUE,0,0,>0
White Rock Seniors Village,993I1,Fraser Health,PFP,1183 Maple Street,White Rock,V8B5K9,Community Care & Assisted Living Act,Accredited,2.49,0.31,2.8,2.68,0.31,2.99,71,59,6,0,0,0,1,0,6,0,0,1,1,0,1.4,0,8.5,0,0,1.4,1.4,0,89,84.30%,71.90%,0.00%,405,26.60%,27.00%,30.30%,79.10%,15.60%,3.8,21.70%,0.57,20.90%,61.90%,7.40%,55.70%,26.80%,24.80%,6,11,1,2,2,0,2,2,0,0,0,2,0,0,49.0236424,-122.7891502,,,0,TRUE,TRUE,0.154929577,>0,>0
William Rudd House,91828,Fraser Health,HA,95 Blackberry Drive,New Westminster,V3L5S7,Hospital Act,Unknown,3.19,0.34,3.52,3.19,0.34,3.53,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,48.50%,0.00%,93.90%,,8.20%,34.70%,0.00%,0.00%,0.00%,4.5,12.20%,0.69,10.20%,67.30%,10.20%,59.20%,1.60%,19.50%,1,3,0,1,0,0,0,0,0,0,0,2,0,0,49.21725645,-122.9010581,,,0,TRUE,FALSE,0,0,0
Williams Lake Seniors Village,92CIA,Interior Health,PFP,1455 Western Avenue,Williams Lake,V2G5N1,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.99,0.35,3.34,113,113,0,0,0,0,0,2,8,0,0,0,3,0,0,1.8,7.1,0,0,0,2.7,0,81,65.80%,47.60%,7.50%,306,12.30%,24.80%,24.80%,66.90%,3.70%,3.2,36.50%,0.55,0.00%,10.40%,0.00%,44.00%,29.90%,1.80%,1,1,0,0,1,0,0,0,0,0,0,0,0,0,52.1520084,-122.1593926,,,0,TRUE,TRUE,0,0,0
Willingdon Care Centre,9B79H,Fraser Health,PFP,4435 Grange St,Burnaby,V5H1P4,Hospital Act,Unknown,2.47,0.31,2.79,2.64,0.31,2.95,95,10,23,10,0,0,1,0,12,0,0,0,0,0,1.1,0,12.6,0,0,0,0,0,89,77.00%,72.30%,2.00%,907,19.40%,27.80%,8.90%,61.20%,1.00%,2.9,44.90%,0.56,3.70%,26.00%,2.40%,28.10%,9.90%,2.40%,1,4,0,1,0,1,0,0,1,0,0,1,0,0,49.23233265,-123.0048488,,,0,TRUE,FALSE,0,>0,0
Willingdon Creek Village,93FB0,Vancouver Coastal Health,HA,4980 Kiwanis Drive,Powell River,V8A5H5,Community Care & Assisted Living Act,Accredited,2.97,0.29,3.26,2.97,0.29,3.26,102,102,0,0,1,0,0,0,4,0,1,0,0,0,0,0,3.9,0,1,0,0,0,83,64.00%,52.00%,4.20%,664,21.30%,23.40%,32.90%,75.30%,14.40%,2.6,51.20%,0.55,0.30%,0.30%,0.00%,60.40%,51.00%,34.30%,1,4,0,0,1,0,0,0,0,2,0,1,0,0,49.849859,-124.519,,,0,TRUE,TRUE,0,0,0
Windermere Care Centre,9C2G9,Vancouver Coastal Health,PFP,900 West 12th Avenue,Vancouver,V5Z1N3,Community Care & Assisted Living Act,Not Accredited,2.73,0.22,2.95,2.83,0.19,3.02,210,170,22,0,0,0,2,0,26,0,0,0,2,0,1,0,12.4,0,0,0,1,0,87,78.20%,61.00%,0.50%,959,22.90%,26.80%,7.00%,64.00%,2.60%,4.6,0.40%,0.54,5.80%,2.60%,0.00%,41.80%,15.30%,4.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.260325,-123.125,14,1,1,TRUE,TRUE,0.028571429,>0,0
Woodgrove Manor,91FGB,Vancouver Island Health,PFP,6304 Metral Drive,Nanaimo,V9T2L8,Community Care & Assisted Living Act,Not Accredited,2.7,0.09,2.8,3.03,0.18,3.2,43,39,0,0,1,0,0,0,5,0,0,0,5,3,0,0,11.6,0,0,0,11.6,7,,,,,,,,,,,,,,,,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,49.2291611,-124.0433343,,,0,TRUE,TRUE,0.279069767,0,0
Wrinch Memorial Hospital,9A63B,Northern Health,HA,2510 West Hwy 62,Hazelton,V0J1Y0,Hospital Act,Accredited,3.24,0,3.24,3.39,0,3.39,10,1,5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,31.40%,65.70%,0.00%,,13.00%,17.40%,26.10%,47.80%,17.40%,3.1,34.80%,0.52,0.00%,0.00%,0.00%,17.40%,45.10%,18.80%,1,8,0,1,0,0,0,0,1,1,1,4,0,0,55.2595756,-127.651258,,,0,FALSE,FALSE,0,0,0
Yaletown House,9B0I5,Vancouver Coastal Health,PNP,1099 Cambie Street,Vancouver,V6B5A8,Community Care & Assisted Living Act,Not Accredited,2.59,0.18,2.77,2.81,0.18,2.99,127,127,0,0,0,0,0,1,11,0,0,6,0,0,0,0.8,8.7,0,0,4.7,0,0,82,51.90%,45.90%,10.40%,"1,548",27.60%,26.70%,40.90%,72.60%,8.10%,4,20.70%,0.52,10.70%,63.70%,0.40%,48.80%,17.30%,10.60%,4,2,0,0,0,0,0,0,0,1,0,1,0,0,49.275272,-123.119,,,0,TRUE,TRUE,0,0,0
Youville Residence,99A15,Vancouver Coastal Health,PNP,4950 Heather Street,Vancouver,V5Z3L9,Community Care & Assisted Living Act,Accredited,3.21,0.36,3.57,3.21,0.4,3.61,42,42,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9.5,0,0,0,0,0,79,60.00%,29.70%,8.60%,"2,154",24.20%,31.70%,61.50%,82.60%,20.50%,1.2,83.20%,0.59,23.00%,5.60%,18.60%,54.70%,49.60%,5.20%,5,5,0,0,0,0,3,0,0,0,0,2,0,0,49.24058,-123.12,,,0,TRUE,TRUE,0,0,0
Yucalta Lodge,99EJC,Vancouver Island Health,HA,555 - 2nd Avenue,Campbell River,V9W3V1,Community Care & Assisted Living Act,Accredited,2.93,0.29,3.22,2.94,0.29,3.22,99,100,0,0,12,5,0,10,9,0,0,2,1,1,0,10.1,9.1,0,0,2,1,1,82,60.50%,45.90%,6.10%,"1,038",37.00%,34.60%,35.10%,76.80%,7.30%,3.9,27.30%,0.59,9.20%,0.00%,0.80%,64.30%,32.70%,9.60%,4,2,0,0,2,0,0,0,0,0,0,0,0,0,50.009873,-125.24531,,,0,TRUE,FALSE,0,0,0
Zion Park Manor,99444,Fraser Health,PNP,5939-180th St,Surrey,V3S4L2,Community Care & Assisted Living Act,Not Accredited,2.73,0.35,3.08,2.73,0.35,3.08,99,99,0,0,0,0,0,0,8,0,0,0,3,0,0,0,8.1,0,0,0,3,0,85,70.60%,61.40%,1.20%,"1,118",13.90%,23.20%,23.20%,55.10%,8.60%,3,40.70%,0.57,0.50%,0.00%,2.30%,47.00%,8.20%,2.70%,1,2,0,0,0,0,1,0,0,0,0,1,0,0,49.1101454,-122.724215,,,0,TRUE,TRUE,0.292929293,0,0
